family,field,live_type,live_ignore_above,expected_via,expected_type,classification,emit_sites,dashboard_refs
logs,age_seconds,float,,es-default,float,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/brainstem/sensors/AGENTS.md:240 | src/personal_agent/brainstem/sensors/sensors.py:97 | src/personal_agent/brainstem/sensors/sensors.py:168,
logs,agent_id,keyword,,dynamic:ids_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/service/app.py:534 | src/personal_agent/memory/service.py:894 | src/personal_agent/memory/service.py:899,
logs,alert,boolean,,es-default,boolean,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/brainstem/optimizer.py:32 | src/personal_agent/telemetry/lifecycle_manager.py:211 | src/personal_agent/telemetry/lifecycle_manager.py:221,
logs,allowed_servers,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/mcp/gateway.py:140 | src/personal_agent/mcp/gateway.py:147,
logs,allowed_tool_categories,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),,
logs,amount,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/gateway/chat_api.py:487 | src/personal_agent/cost_gate/gate.py:196 | src/personal_agent/cost_gate/gate.py:200 | src/personal_agent/cost_gate/gate.py:224 | src/personal_agent/cost_gate/gate.py:415 | src/personal_agent/llm_client/litellm_client.py:468,
logs,anomalies_count,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/brainstem/scheduler.py:753,
logs,anomaly_fingerprint,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/pipeline_handlers.py:798,
logs,anomaly_type,keyword,,dynamic:enums_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/second_brain/quality_monitor.py:377 | src/personal_agent/second_brain/quality_monitor.py:387 | src/personal_agent/second_brain/quality_monitor.py:397 | src/personal_agent/second_brain/quality_monitor.py:411 | src/personal_agent/second_brain/quality_monitor.py:427 | src/personal_agent/second_brain/quality_monitor.py:559,
logs,api_type,keyword,,explicit,keyword,✅ aligned (explicit),src/personal_agent/llm_client/telemetry.py:130 | src/personal_agent/llm_client/client.py:530 | src/personal_agent/llm_client/client.py:458 | src/personal_agent/llm_client/client.py:486,
logs,archived_bytes,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/lifecycle_manager.py:246 | src/personal_agent/telemetry/lifecycle_manager.py:250 | src/personal_agent/telemetry/lifecycle_manager.py:278 | src/personal_agent/telemetry/lifecycle_manager.py:284,
logs,archived_count,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/lifecycle_manager.py:246 | src/personal_agent/telemetry/lifecycle_manager.py:250 | src/personal_agent/telemetry/lifecycle_manager.py:277 | src/personal_agent/telemetry/lifecycle_manager.py:283,
logs,args,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/es_handler.py:92 | src/personal_agent/transport/agui/adapter.py:59 | src/personal_agent/transport/agui/adapter.py:95 | src/personal_agent/transport/agui/transport.py:327 | src/personal_agent/tools/executor.py:244 | src/personal_agent/tools/AGENTS.md:67,
logs,arguments,,,es-default,text+keyword(default),ℹ️ container/structural,src/personal_agent/orchestrator/sub_agent.py:407 | src/personal_agent/orchestrator/sub_agent.py:532 | src/personal_agent/orchestrator/tool_result_digest.py:464 | src/personal_agent/orchestrator/tool_result_digest.py:540 | src/personal_agent/orchestrator/prompts.py:74 | src/personal_agent/orchestrator/prompts.py:83,
logs,arguments.action,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/app.py:1279 | src/personal_agent/service/app.py:1285 | src/personal_agent/service/repositories/constraint_preferences_repository.py:76 | src/personal_agent/orchestrator/executor.py:303 | src/personal_agent/orchestrator/executor.py:365 | src/personal_agent/request_gateway/budget.py:278,
logs,arguments.args,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/es_handler.py:92 | src/personal_agent/transport/agui/adapter.py:59 | src/personal_agent/transport/agui/adapter.py:95 | src/personal_agent/transport/agui/transport.py:327 | src/personal_agent/mcp/client.py:87 | src/personal_agent/transport/agui/adapter.py:56,
logs,arguments.artifact_id,keyword,,dynamic:ids_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/service/artifacts_router.py:313 | src/personal_agent/observability/artifact_envelope/probe.py:77 | src/personal_agent/tools/notes_tools.py:253 | src/personal_agent/tools/notes_tools.py:373 | src/personal_agent/tools/notes_tools.py:454 | src/personal_agent/tools/artifact_tools.py:228,
logs,arguments.categories,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/orchestrator/prompts.py:83 | src/personal_agent/tools/web.py:81 | src/personal_agent/tools/web.py:208 | src/personal_agent/orchestrator/prompts.py:55 | src/personal_agent/tools/web.py:64 | src/personal_agent/tools/web.py:200,
logs,arguments.command,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/orchestrator/tool_result_digest.py:206 | src/personal_agent/tools/executor.py:194 | src/personal_agent/tools/primitives/bash.py:86 | src/personal_agent/tools/primitives/bash.py:415 | src/personal_agent/tools/primitives/bash.py:422 | src/personal_agent/tools/primitives/bash.py:468,
logs,arguments.content,keyword,1024,es-default,text+keyword(default),⚠️ TRAP keyword ignore_above:1024 (long-text drop),src/personal_agent/second_brain/session_summary.py:155 | src/personal_agent/second_brain/session_summary.py:159 | src/personal_agent/second_brain/session_summary.py:165 | src/personal_agent/second_brain/session_summary.py:166 | src/personal_agent/second_brain/session_summary.py:192 | src/personal_agent/second_brain/entity_extraction.py:233,
logs,arguments.content_hash,keyword,1024,es-default,text+keyword(default),⚠️ TRAP keyword ignore_above:1024 (long-text drop),src/personal_agent/tools/tool_result_expand.py:46 | src/personal_agent/orchestrator/tool_result_digest.py:313 | src/personal_agent/orchestrator/tool_result_digest.py:611 | src/personal_agent/orchestrator/tool_result_digest.py:630,
logs,arguments.content_type,keyword,,dynamic:enums_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/service/artifacts_router.py:121 | src/personal_agent/observability/artifact_envelope/probe.py:79 | src/personal_agent/tools/artifact_tools.py:120 | src/personal_agent/tools/artifact_tools.py:344 | src/personal_agent/tools/artifact_tools.py:437 | src/personal_agent/tools/artifact_tools.py:507,
logs,arguments.context7CompatibleLibraryID,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.days_ago,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/personal_history.py:34 | src/personal_agent/tools/personal_history.py:125 | src/personal_agent/tools/personal_history.py:176,
logs,arguments.description,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/ui/cli.py:218 | src/personal_agent/ui/memory_cli.py:178 | src/personal_agent/second_brain/entity_extraction.py:75 | src/personal_agent/second_brain/entity_extraction.py:76 | src/personal_agent/second_brain/entity_extraction.py:77 | src/personal_agent/second_brain/entity_extraction.py:78,
logs,arguments.dry_run,boolean,,es-default,boolean,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/linear.py:90 | src/personal_agent/tools/linear.py:491 | src/personal_agent/tools/linear.py:541 | src/personal_agent/ui/memory_cli.py:347 | src/personal_agent/memory/freshness_backfill.py:54 | src/personal_agent/tools/linear.py:53,
logs,arguments.engines,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/web.py:95 | src/personal_agent/tools/web.py:213 | src/personal_agent/tools/web.py:64 | src/personal_agent/tools/web.py:201,
logs,arguments.entity_names,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/second_brain/entity_extraction.py:360 | src/personal_agent/second_brain/entity_extraction.py:407 | src/personal_agent/second_brain/consolidator.py:572 | src/personal_agent/memory/service.py:1492 | src/personal_agent/tools/memory_search.py:52 | src/personal_agent/ui/memory_cli.py:81,
logs,arguments.entity_types,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/memory/service.py:1494 | src/personal_agent/tools/memory_search.py:40 | src/personal_agent/ui/memory_cli.py:82 | src/personal_agent/ui/memory_cli.py:153 | src/personal_agent/request_gateway/context.py:170 | src/personal_agent/orchestrator/executor.py:1884,
logs,arguments.event,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/ui/cli.py:85 | src/personal_agent/ui/cli.py:92 | src/personal_agent/ui/cli.py:154 | src/personal_agent/ui/cli.py:160 | src/personal_agent/telemetry/metrics.py:243 | src/personal_agent/telemetry/metrics.py:265,
logs,arguments.includeArchived,boolean,,es-default,boolean,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/captains_log/linear_client.py:461 | src/personal_agent/captains_log/linear_client.py:472 | src/personal_agent/captains_log/linear_client.py:527 | src/personal_agent/captains_log/feedback.py:338 | src/personal_agent/captains_log/feedback.py:388 | src/personal_agent/captains_log/promotion.py:409,
logs,arguments.include_details,boolean,,es-default,boolean,⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.index,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/es_logger.py:93 | src/personal_agent/telemetry/lifecycle_manager.py:395 | src/personal_agent/llm_client/adapters.py:84 | src/personal_agent/llm_client/adapters.py:129 | src/personal_agent/llm_client/adapters.py:596 | src/personal_agent/llm_client/adapters.py:597,
logs,arguments.k,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/artifacts_router.py:271 | src/personal_agent/tools/artifact_tools.py:194 | src/personal_agent/tools/artifact_tools.py:565 | src/personal_agent/tools/notes_tools.py:148 | src/personal_agent/tools/notes_tools.py:447 | src/personal_agent/ui/service_cli.py:59,
logs,arguments.key,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/queries.py:382 | src/personal_agent/telemetry/queries.py:384 | src/personal_agent/telemetry/queries.py:388 | src/personal_agent/telemetry/queries.py:472 | src/personal_agent/telemetry/queries.py:476 | src/personal_agent/telemetry/queries.py:543,
logs,arguments.label,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/captains_log/linear_client.py:443 | src/personal_agent/events/pipeline_handlers.py:353 | src/personal_agent/brainstem/scheduler.py:689 | src/personal_agent/brainstem/scheduler.py:699 | src/personal_agent/orchestrator/constraint_options.py:34 | src/personal_agent/orchestrator/constraint_options.py:35,
logs,arguments.language,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/web.py:113 | src/personal_agent/tools/web.py:209,
logs,arguments.last_n,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.libraryName,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.limit,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/orchestrator/tool_result_digest.py:222 | src/personal_agent/gateway/client.py:100 | src/personal_agent/memory/service.py:1486 | src/personal_agent/mcp/server/tools.py:54 | src/personal_agent/mcp/server/tools.py:118 | src/personal_agent/mcp/server/tools.py:136,
logs,arguments.max_bytes,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/primitives/read.py:90,
logs,arguments.max_chars,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.max_results,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/web.py:133,
logs,arguments.max_size_mb,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/executor.py:139 | src/personal_agent/tools/executor.py:140,
logs,arguments.mode,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/ui/service_cli.py:80 | src/personal_agent/gateway/session_api.py:443 | src/personal_agent/telemetry/protocols.py:122 | src/personal_agent/observability/route_trace/ledger.py:341 | src/personal_agent/orchestrator/prompts.py:86 | src/personal_agent/orchestrator/expansion_controller.py:69,
logs,arguments.name,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/ui/memory_cli.py:159 | src/personal_agent/ui/memory_cli.py:160 | src/personal_agent/ui/memory_cli.py:175 | src/personal_agent/second_brain/entity_extraction.py:75 | src/personal_agent/second_brain/entity_extraction.py:76 | src/personal_agent/second_brain/entity_extraction.py:77,request_traces.ndjson:Single Trace Waterfall | request_traces.ndjson:Trace Detail Table
logs,arguments.network,boolean,,es-default,boolean,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/perplexity.py:42 | src/personal_agent/tools/context7.py:35 | src/personal_agent/tools/linear.py:55 | src/personal_agent/tools/linear.py:115 | src/personal_agent/tools/linear.py:157 | src/personal_agent/tools/linear.py:174,
logs,arguments.nextThoughtNeeded,boolean,,es-default,boolean,⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.offset,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/primitives/read.py:69 | src/personal_agent/tools/primitives/read.py:316 | src/personal_agent/tools/primitives/read.py:489 | src/personal_agent/tools/tool_result_expand.py:52 | src/personal_agent/orchestrator/tool_result_digest.py:221 | src/personal_agent/tools/primitives/read.py:53,
logs,arguments.orderBy,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/captains_log/linear_client.py:463 | src/personal_agent/captains_log/linear_client.py:469 | src/personal_agent/captains_log/linear_client.py:526 | src/personal_agent/captains_log/feedback.py:390,
logs,arguments.path,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/executor.py:121 | src/personal_agent/tools/executor.py:122 | src/personal_agent/tools/primitives/_governance.py:80 | src/personal_agent/tools/primitives/_governance.py:88 | src/personal_agent/tools/primitives/write.py:38 | src/personal_agent/tools/primitives/write.py:137,
logs,arguments.plan,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/artifact_tools.py:1051 | src/personal_agent/orchestrator/types.py:274 | src/personal_agent/orchestrator/expansion_controller.py:207 | src/personal_agent/orchestrator/expansion_controller.py:248 | src/personal_agent/orchestrator/AGENTS.md:47,
logs,arguments.prefix,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/artifacts_router.py:269 | src/personal_agent/tools/artifact_tools.py:187 | src/personal_agent/tools/artifact_tools.py:563 | src/personal_agent/config/settings.py:38 | src/personal_agent/config/bootstrap.py:133 | src/personal_agent/llm_client/litellm_client.py:654,
logs,arguments.priority,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/llm_client/concurrency.py:102 | src/personal_agent/mcp/linear_issue_args.py:79 | src/personal_agent/mcp/linear_issue_args.py:81 | src/personal_agent/captains_log/linear_client.py:365 | src/personal_agent/tools/linear.py:74 | src/personal_agent/tools/linear.py:477,
logs,arguments.query,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/ui/cli.py:33 | src/personal_agent/ui/memory_cli.py:90 | src/personal_agent/orchestrator/prompts.py:83 | src/personal_agent/orchestrator/prompts.py:86 | src/personal_agent/mcp/AGENTS.md:71 | src/personal_agent/gateway/observation_api.py:110,
logs,arguments.query_text,text,,dynamic:free_text,text,✅ aligned (dynamic-rule),src/personal_agent/service/app.py:2093 | src/personal_agent/tools/memory_search.py:30 | src/personal_agent/ui/memory_cli.py:86 | src/personal_agent/tools/memory_search.py:123 | src/personal_agent/tools/memory_search.py:158 | src/personal_agent/orchestrator/executor.py:1924,
logs,arguments.query_type,keyword,,dynamic:enums_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/second_brain/consolidator.py:255 | src/personal_agent/memory/service.py:1641 | src/personal_agent/memory/service.py:1806 | src/personal_agent/memory/service.py:1860,
logs,arguments.recency_days,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/memory_search.py:63 | src/personal_agent/ui/memory_cli.py:84 | src/personal_agent/ui/memory_cli.py:154 | src/personal_agent/ui/memory_cli.py:198 | src/personal_agent/captains_log/recall.py:227 | src/personal_agent/captains_log/recall.py:255,
logs,arguments.script,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/telemetry/queries.py:367 | src/personal_agent/telemetry/queries.py:453 | src/personal_agent/observability/artifact_envelope/spec.py:81 | src/personal_agent/observability/artifact_envelope/spec.py:87 | src/personal_agent/observability/artifact_envelope/verifier.py:301 | src/personal_agent/tools/primitives/run_python.py:52,
logs,arguments.session_notes,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/location.py:179,
logs,arguments.slug,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/artifacts_router.py:118 | src/personal_agent/observability/artifact_envelope/probe.py:78 | src/personal_agent/tools/notes_tools.py:81 | src/personal_agent/tools/notes_tools.py:219 | src/personal_agent/tools/notes_tools.py:253 | src/personal_agent/tools/notes_tools.py:353,
logs,arguments.state,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/mcp/linear_issue_args.py:65 | src/personal_agent/mcp/linear_issue_args.py:66 | src/personal_agent/tools/linear.py:126 | src/personal_agent/tools/linear.py:504 | src/personal_agent/tools/linear.py:582 | src/personal_agent/tools/linear.py:599,
logs,arguments.summary,keyword,1024,es-default,text+keyword(default),⚠️ TRAP keyword ignore_above:1024 (long-text drop),src/personal_agent/ui/memory_cli.py:98 | src/personal_agent/second_brain/entity_extraction.py:97 | src/personal_agent/second_brain/entity_extraction.py:357 | src/personal_agent/second_brain/entity_extraction.py:404 | src/personal_agent/second_brain/consolidator.py:477 | src/personal_agent/request_gateway/context.py:130,
logs,arguments.tags,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/artifacts_router.py:123 | src/personal_agent/tools/artifact_tools.py:160 | src/personal_agent/tools/artifact_tools.py:440 | src/personal_agent/tools/artifact_tools.py:578 | src/personal_agent/tools/artifact_tools.py:666 | src/personal_agent/tools/artifact_tools.py:1066,
logs,arguments.tail_lines,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/primitives/read.py:102 | src/personal_agent/tools/primitives/read.py:323 | src/personal_agent/tools/primitives/read.py:423 | src/personal_agent/tools/primitives/read.py:412,
logs,arguments.team,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/captains_log/linear_client.py:439 | src/personal_agent/captains_log/linear_client.py:441 | src/personal_agent/captains_log/linear_client.py:524 | src/personal_agent/mcp/gateway.py:251 | src/personal_agent/mcp/gateway.py:254 | src/personal_agent/mcp/gateway.py:255,
logs,arguments.thought,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.thoughtNumber,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.time_range,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/web.py:121 | src/personal_agent/tools/web.py:215 | src/personal_agent/tools/web.py:202 | src/personal_agent/gateway/observation_api.py:188,
logs,arguments.timeout,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/security.py:322 | src/personal_agent/telemetry/events.py:10 | src/personal_agent/orchestrator/expansion_controller.py:347 | src/personal_agent/error_classification.py:27 | src/personal_agent/error_classification.py:100 | src/personal_agent/error_classification.py:118,
logs,arguments.timeout_seconds,long,,es-default,long,⚠️ TRAP float→long (0.0 first-seen),src/personal_agent/tools/primitives/bash.py:94 | src/personal_agent/tools/primitives/bash.py:469 | src/personal_agent/tools/primitives/run_python.py:60 | src/personal_agent/second_brain/entity_extraction.py:282 | src/personal_agent/events/session_write_waiter.py:74 | src/personal_agent/mcp/types.py:91,
logs,arguments.title,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/pipeline_handlers.py:236 | src/personal_agent/service/artifacts_router.py:119 | src/personal_agent/gateway/session_api.py:448 | src/personal_agent/insights/engine.py:1127 | src/personal_agent/brainstem/optimizer.py:319 | src/personal_agent/captains_log/manager.py:479,insights_engine.ndjson:Anomalies
logs,arguments.tokens,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/pipeline_handlers.py:625 | src/personal_agent/gateway/auth.py:109 | src/personal_agent/tools/context7.py:57 | src/personal_agent/tools/context7.py:195 | src/personal_agent/orchestrator/executor.py:1472 | src/personal_agent/orchestrator/executor.py:2719,
logs,arguments.topic,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/orchestrator/executor.py:559 | src/personal_agent/tools/personal_history.py:42 | src/personal_agent/tools/context7.py:49 | src/personal_agent/tools/context7.py:197 | src/personal_agent/tools/context7.py:85 | src/personal_agent/tools/context7.py:107,
logs,arguments.totalThoughts,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),,
logs,arguments.trace_id,keyword,,dynamic:ids_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/ui/cli.py:87 | src/personal_agent/ui/cli.py:92 | src/personal_agent/ui/cli.py:160 | src/personal_agent/ui/service_cli.py:128 | src/personal_agent/events/request_completed_handlers.py:63 | src/personal_agent/memory/service.py:367,request_latency.ndjson:Latency by trace | request_traces.ndjson:Request Overview
logs,arguments.updatedAt,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/captains_log/feedback.py:390 | src/personal_agent/captains_log/feedback.py:406 | src/personal_agent/captains_log/linear_client.py:455 | src/personal_agent/captains_log/linear_client.py:459 | src/personal_agent/captains_log/linear_client.py:463 | src/personal_agent/captains_log/linear_client.py:526,
logs,arguments.url,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/tools/linear.py:535 | src/personal_agent/tools/linear.py:539 | src/personal_agent/tools/linear.py:601 | src/personal_agent/tools/linear.py:650 | src/personal_agent/tools/linear.py:714 | src/personal_agent/tools/web.py:261,
logs,arguments.window,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/consumer.py:195 | src/personal_agent/service/app.py:1112 | src/personal_agent/cost_gate/gate.py:161 | src/personal_agent/cost_gate/types.py:102,
logs,artifact_id,keyword,,dynamic:ids_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/observability/artifact_envelope/probe.py:77 | src/personal_agent/service/artifacts_router.py:313 | src/personal_agent/tools/artifact_tools.py:228 | src/personal_agent/tools/artifact_tools.py:344 | src/personal_agent/tools/artifact_tools.py:409 | src/personal_agent/tools/artifact_tools.py:504,
logs,assistant_messages_modified,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/llm_client/history_sanitiser.py:134 | src/personal_agent/llm_client/history_sanitiser.py:144 | src/personal_agent/llm_client/history_sanitiser.py:151 | src/personal_agent/llm_client/history_sanitiser.py:210 | src/personal_agent/llm_client/history_sanitiser.py:218,
logs,assistant_msg_len,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/second_brain/entity_extraction.py:213,
logs,assistant_with_tool_calls_indices,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/llm_client/client.py:375,
logs,attempt,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/consumer.py:211 | src/personal_agent/llm_client/client.py:546,
logs,attempt_number,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/models.py:450 | src/personal_agent/second_brain/attempts.py:115 | src/personal_agent/second_brain/entity_extraction.py:374 | src/personal_agent/second_brain/entity_extraction.py:387 | src/personal_agent/second_brain/consolidator.py:436 | src/personal_agent/second_brain/consolidator.py:449,extraction_retry_health.ndjson:Median attempts to success (per role)
logs,attempts,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/redis_backend.py:212 | src/personal_agent/second_brain/consolidator.py:498 | src/personal_agent/second_brain/consolidator.py:547 | src/personal_agent/events/redis_backend.py:225 | src/personal_agent/events/consumer.py:222,
logs,aud_prefix,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/service/cf_access_jwt.py:183,
